epoch,inclusion_loss,learning_rate
773,0.0011803699547736676,0.002
774,0.0011794371007247655,0.002
775,0.0011785023159042688,0.002
776,0.0011775655843629077,0.002
777,0.0011766268900126632,0.002
778,0.0011756862166202222,0.002
779,0.0011747435478064864,0.002
780,0.0011737988670489465,0.002
781,0.0011728521576762458,0.002
782,0.0011719034028672961,0.002
783,0.0011709525856535815,0.002
784,0.0011699996889146225,0.002
785,0.0011690446953764955,0.002
786,0.0011680875876134795,0.002
787,0.0011671283480439174,0.002
788,0.0011661669589280708,0.002
789,0.0011652034023693046,0.002
790,0.001164237660310514,0.002
791,0.0011632697145319043,0.002
792,0.0011622995466519584,0.002
793,0.0011613271381244739,0.002
794,0.001160352470236366,0.002
795,0.001159375524108328,0.002
796,0.0011583962806921558,0.002
797,0.0011574147207683912,0.002
798,0.0011564308244724057,0.002
799,0.001155444571488963,0.002
800,0.0011544559419636542,0.002
801,0.0011534649158727072,0.002
802,0.0011524714730253406,0.002
803,0.0011514755930757683,0.002
804,0.0011504772554988669,0.002
805,0.0011494764395897175,0.002
806,0.0011484731244733684,0.002
807,0.001147467289086655,0.002
808,0.0011464589121802954,0.002
809,0.0011454479723280934,0.002
810,0.0011444344479114043,0.002
811,0.0011434183171204104,0.002
812,0.0011423995579611006,0.002
813,0.0011413781482420941,0.002
814,0.0011403540655763127,0.002
815,0.0011393272873867002,0.002
816,0.001138297790894241,0.002
817,0.0011372655531162405,0.002
818,0.001136230550166967,0.002
819,0.0011351927579719575,0.002
820,0.001134152152823854,0.002
821,0.001133108710816644,0.002
822,0.0011320624078365506,0.002
823,0.0011310132195600832,0.002
824,0.0011299611214528734,0.002
825,0.0011289060887665497,0.002
826,0.0011278480965438691,0.002
827,0.0011267871196177209,0.002
828,0.0011257231326651847,0.002
829,0.0011246561101415898,0.002
830,0.0011235860262159365,0.002
831,0.001122512854842422,0.002
832,0.0011214365697404726,0.002
833,0.0011203571443889726,0.002
834,0.001119274552148571,0.002
835,0.0011181887663587696,0.002
836,0.0011170997598405762,0.002
837,0.001116007505172904,0.002
838,0.0011149119746785945,0.002
839,0.001113813140420554,0.002
840,0.001112710974234794,0.002
841,0.0011116054476979964,0.002
842,0.0011104965321296258,0.002
843,0.0011093841986172727,0.002
844,0.0011082684179866864,0.002
845,0.0011071491608062986,0.002
846,0.0011060263974002732,0.002
847,0.0011049000978245033,0.002
848,0.001103770231875603,0.002
849,0.001102636769093628,0.002
850,0.0011014996787458845,0.002
851,0.0011003589298393662,0.002
852,0.0010992144911152284,0.002
853,0.001098066331039487,0.002
854,0.0010969144178156432,0.002
855,0.0010957587190178746,0.002
856,0.0010945992007024338,0.002
857,0.0010934358298420636,0.002
858,0.0010922685732967785,0.002
859,0.0010910973976780277,0.002
860,0.00108992226935778,0.002
861,0.0010887431544361742,0.002
862,0.001087560018733715,0.002
863,0.0010863728277906413,0.002
864,0.0010851815468583786,0.002
865,0.0010839861409121605,0.002
866,0.001082786574644984,0.002
867,0.001081582812454089,0.002
868,0.0010803748184445893,0.002
869,0.0010791625564216076,0.002
870,0.0010779459898948615,0.002
871,0.0010767250820924378,0.002
872,0.0010754997959534795,0.002
873,0.001074270094126023,0.002
874,0.0010730359389629,0.002
875,0.0010717972925095604,0.002
876,0.0010705541161287375,0.002
877,0.0010693063705753147,0.002
878,0.0010680540168699901,0.002
879,0.0010667970157333478,0.002
880,0.0010655353275909481,0.002
881,0.0010642689125737609,0.002
882,0.0010629977305115887,0.002
